title,author,genre,description,image_url
"The Great Gatsby","F. Scott Fitzgerald","Classic Fiction","A story of decadence and excess in the Jazz Age, following mysterious millionaire Jay Gatsby and his obsession with Daisy Buchanan.","gatsby.jpg"
"1984","George Orwell","Dystopian Fiction","A dystopian social science fiction novel set in a totalitarian society where critical thinking is suppressed under a regime of surveillance and control.","1984.jpg"
"To Kill a Mockingbird","Harper Lee","Literary Fiction","A powerful story of racial injustice and the loss of innocence in the American South, told through the eyes of young Scout Finch.","mockingbird.jpg"
"Pride and Prejudice","Jane Austen","Romance","A masterful romantic novel about prejudice, marriage, and social class in Regency-era England.","pride.jpg"
"The Catcher in the Rye","J.D. Salinger","Coming-of-age Fiction","A story of teenage alienation and angst, following Holden Caulfield's experiences in New York City.","catcher.jpg"
"The Hobbit","J.R.R. Tolkien","Fantasy","A fantasy novel about Bilbo Baggins, a hobbit who embarks on a quest to help a group of dwarves reclaim their mountain home from a dragon.","hobbit.jpg"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Young Adult Fantasy","The first book in the beloved series about a young wizard who discovers his magical heritage and battles dark forces at Hogwarts School.","harry.jpg"
"The Lord of the Rings","J.R.R. Tolkien","Fantasy","An epic high-fantasy novel about a hobbit's quest to destroy a powerful ring and save Middle-earth from the Dark Lord Sauron.","lotr.jpg"
"The Da Vinci Code","Dan Brown","Mystery Thriller","A fast-paced thriller combining art, religion, and conspiracy theories as Robert Langdon investigates a murder at the Louvre Museum.","davinci.jpg"
"The Alchemist","Paulo Coelho","Philosophical Fiction","A philosophical novel about a shepherd boy who travels to Egypt in search of treasure and discovers the true meaning of following one's dreams.","alchemist.jpg"
"The Hunger Games","Suzanne Collins","Young Adult Dystopian","In a dystopian future, young Katniss Everdeen volunteers for a televised competition where teenagers must fight to the death.","hunger.jpg"
"The Girl with the Dragon Tattoo","Stieg Larsson","Crime Thriller","A complex thriller following journalist Mikael Blomkvist and hacker Lisbeth Salander as they investigate a decades-old disappearance.","dragon.jpg"
"The Chronicles of Narnia","C.S. Lewis","Children's Fantasy","A series of fantasy novels about children who discover a magical world through a wardrobe and become its rulers.","narnia.jpg"
"Brave New World","Aldous Huxley","Dystopian Fiction","A dystopian novel depicting a genetically engineered future society where happiness is prioritized over truth and freedom.","brave.jpg"
"The Shining","Stephen King","Horror","A psychological horror novel about a family isolated in a haunted hotel during winter, as supernatural forces target them.","shining.jpg"
"The Road","Cormac McCarthy","Post-apocalyptic Fiction","A post-apocalyptic tale of a father and son's journey through a devastated America, struggling to survive while maintaining their humanity.","road.jpg"
"Gone Girl","Gillian Flynn","Psychological Thriller","A psychological thriller about a marriage gone terribly wrong, with twists and turns that challenge the concept of truth.","gone.jpg"
"The Kite Runner","Khaled Hosseini","Historical Fiction","A moving tale of friendship, betrayal, and redemption set against the backdrop of Afghanistan's tumultuous history.","kite.jpg"
"The Help","Kathryn Stockett","Historical Fiction","Set in 1960s Mississippi, the story follows African American maids and their relationships with their white employers.","help.jpg"
"Life of Pi","Yann Martel","Adventure Fiction","An adventure story about a young Indian boy stranded on a lifeboat in the Pacific Ocean with a Bengal tiger.","pi.jpg"
